iter	RMSE
0	0.3980958209
1	0.3968977613
2	0.3957582557
3	0.3946015329
4	0.3932488152
5	0.3920648022
6	0.3908689922
7	0.3897268626
8	0.3884674219
9	0.3872910935
10	0.386223353
11	0.3849941839
12	0.3838481894
13	0.382713446
14	0.3815213454
15	0.3803461095
16	0.3792297675
17	0.378140374
18	0.3771115917
19	0.3759279117
20	0.3747233159
21	0.3736417549
22	0.372437946
23	0.3714160496
24	0.3702889458
25	0.3690982738
26	0.3679871058
27	0.3669194507
28	0.3658031885
29	0.3646934822
30	0.3636687248
31	0.3625833267
32	0.3615109381
33	0.3603922068
34	0.3593833276
35	0.3582857833
36	0.3571474754
37	0.3561134132
38	0.3550031925
39	0.3539763634
40	0.3529729254
41	0.3519779413
42	0.3510299095
43	0.3499623039
44	0.3489245684
45	0.3479164534
46	0.3469457758
47	0.3459147873
48	0.3449007913
49	0.3439125677
50	0.3429812022
51	0.3419639076
52	0.3410627487
53	0.3401076241
54	0.3391932617
55	0.3382226846
56	0.337274725
57	0.3362826543
58	0.3352608485
59	0.3343267704
60	0.3333634167
61	0.332443749
62	0.3315105683
63	0.3305254235
64	0.329644442
65	0.3287682245
66	0.327814644
67	0.326821638
68	0.3258854928
69	0.3249419438
70	0.3240008081
71	0.3230646102
72	0.3221716033
73	0.3213545393
74	0.3204912466
75	0.3196439331
76	0.3188225366
77	0.3179572288
78	0.3171390441
79	0.3163270367
80	0.3154181829
81	0.3145432669
82	0.3136128963
83	0.3127452073
84	0.3118635833
85	0.3110478036
86	0.3102511195
87	0.3094126086
88	0.3086512071
89	0.3078699677
90	0.3070635323
91	0.3062354373
92	0.3054113669
93	0.3045679794
94	0.3037361899
95	0.3029825428
96	0.3021343772
97	0.3013315936
98	0.3005360484
99	0.2997458169
100	0.2989511278
101	0.2981447495
102	0.2973860403
103	0.2966463092
104	0.2959259437
105	0.2951498316
106	0.2943926983
107	0.2935593027
108	0.292809296
109	0.292074649
110	0.2913803506
111	0.290654007
112	0.2900018421
113	0.2892484609
114	0.2886225053
115	0.2879157197
116	0.2871965158
117	0.2864159082
118	0.2856972512
119	0.2849958224
120	0.2842645794
121	0.2836059925
122	0.2828602583
123	0.282202037
124	0.2814978004
125	0.2808198221
126	0.2801527902
127	0.2795256525
128	0.278863869
129	0.2782205854
130	0.2775617549
131	0.2768063209
132	0.2760707146
133	0.2754445019
134	0.2747803877
135	0.2741514506
136	0.2735096841
137	0.2729168807
138	0.2722289831
139	0.2715334684
140	0.2709126082
141	0.2703492238
142	0.2696862271
143	0.2690774641
144	0.2683955454
145	0.2677642751
146	0.2670671773
147	0.2664267234
148	0.2659029113
149	0.2652876811
150	0.2647468591
151	0.2641752425
152	0.2635306825
153	0.2628640307
154	0.2622861838
155	0.2616643413
156	0.2610638016
157	0.2605055374
158	0.2599744134
159	0.2593916255
160	0.2588147389
161	0.2582503981
162	0.2576581447
163	0.2570772167
164	0.2565292723
165	0.2559800425
166	0.2554348816
167	0.2548089649
168	0.2542606087
169	0.2537461045
170	0.2531781103
171	0.2525695065
172	0.2520554346
173	0.2515007766
174	0.2509958141
175	0.2504492168
176	0.2498960691
177	0.2493725253
178	0.248843326
179	0.2483118909
180	0.2477831064
181	0.2472488893
182	0.2467351255
183	0.2461610614
184	0.2455936587
185	0.2450534184
186	0.244526525
187	0.244035848
188	0.2435355884
189	0.2430541031
190	0.2425443815
191	0.242084336
192	0.2415462225
193	0.2410042556
194	0.2405399971
195	0.2400390745
196	0.2395795455
197	0.2390720343
198	0.2385621437
199	0.2381350206
200	0.2376856285
201	0.2372636382
202	0.2367670121
203	0.2363008071
204	0.2358352315
205	0.2353249887
206	0.2348347552
207	0.2343348111
208	0.23387147
209	0.2333718382
210	0.2329424143
211	0.2324641838
212	0.231998156
213	0.2315271831
214	0.2310587822
215	0.2305435367
216	0.2301026242
217	0.229645457
218	0.2291923623
219	0.2287172965
220	0.2283302823
221	0.227894662
222	0.2274947405
223	0.2270422797
224	0.2265778456
225	0.2261559413
226	0.2257377396
227	0.2253330892
228	0.2249125502
229	0.224494883
230	0.2240461348
231	0.2236299317
232	0.2232134009
233	0.2228013698
234	0.2223730771
235	0.2219409708
236	0.221491849
237	0.2211032417
238	0.2207007106
239	0.2203277866
240	0.2199219081
241	0.2194721683
242	0.2190442385
243	0.2186279184
244	0.21821558
245	0.2178262221
246	0.2174246874
247	0.2170221693
248	0.2166118339
249	0.216191502
250	0.2158033082
251	0.2154339292
252	0.2150838252
253	0.2147332129
254	0.2143730248
255	0.2139871473
256	0.2135988482
257	0.2132598943
258	0.2129308686
259	0.2126174286
260	0.2122537735
261	0.2118733143
262	0.2115259336
263	0.2111882944
264	0.2107979699
265	0.2104786478
266	0.2101381771
267	0.2097729349
268	0.2094252375
269	0.2090660451
270	0.2087066497
271	0.2083645074
272	0.2079907254
273	0.2076423584
274	0.207284931
275	0.2069383107
276	0.2065755407
277	0.2062398506
278	0.2058852006
279	0.2055384171
280	0.205254259
281	0.2049472784
282	0.2046415212
283	0.2043376074
284	0.2040340392
285	0.2037052879
286	0.2034147388
287	0.203067228
288	0.2027714565
289	0.2024371387
290	0.2021037698
291	0.2017936688
292	0.2014853113
293	0.2012456077
294	0.2008913133
295	0.2005694647
296	0.2002105999
297	0.1999557999
298	0.1996697503
299	0.1994000215
300	0.1991188623
301	0.1988031199
302	0.1985341647
303	0.1982405249
304	0.1979411234
305	0.1976024264
306	0.197318509
307	0.1970182543
308	0.1967851271
309	0.196488394
310	0.1961887985
311	0.195899366
312	0.1955962282
313	0.1953417548
314	0.1950586432
315	0.1947858338
316	0.1944814202
317	0.1942179252
318	0.1939474898
319	0.1936727487
320	0.1933907064
321	0.1931059912
322	0.1928627099
323	0.1925905611
324	0.1923135508
325	0.1920256501
326	0.1918066617
327	0.1915000626
328	0.1912667117
329	0.190983922
330	0.1906979627
331	0.190434708
332	0.1901434992
333	0.1898984125
334	0.1896497731
335	0.1894104882
336	0.1891617458
337	0.1888764733
338	0.188602497
339	0.1883584248
340	0.1880856549
341	0.1878221958
342	0.1875925567
343	0.1873829062
344	0.1871349521
345	0.1868465355
346	0.1865814717
347	0.1863277855
348	0.1861167932
349	0.1858651135
350	0.1856057941
351	0.1853736268
352	0.1851069858
353	0.1848502003
354	0.1846002906
355	0.1843489629
356	0.1841277175
357	0.1838470253
358	0.1836009897
359	0.183357047
360	0.1831521092
361	0.182941012
362	0.1827377124
363	0.1825124496
364	0.1823303117
365	0.1820998276
366	0.1818681921
367	0.181634568
368	0.1814002219
369	0.1811694011
370	0.1809622251
371	0.1807545945
372	0.1805555079
373	0.1803044608
374	0.18009932
375	0.17990106
376	0.1796705748
377	0.1794609441
378	0.179235286
379	0.1790287685
380	0.178827631
381	0.1786197572
382	0.1784100767
383	0.1782519305
384	0.1780289944
385	0.1778443483
386	0.1776310677
387	0.1774210677
388	0.1772236116
389	0.177035504
390	0.1768039416
391	0.1765816979
392	0.1764083645
393	0.176204383
394	0.1759966623
395	0.1758548777
396	0.1756409896
397	0.1754444964
398	0.1752805528
399	0.1751254348
400	0.1749399173
401	0.1747695897
402	0.1745896886
403	0.1744257665
404	0.1742385952
405	0.1740705927
406	0.1738730591
407	0.1736782117
408	0.1734888959
409	0.1732913529
410	0.1731283672
411	0.1729595647
412	0.17280198
413	0.1726247167
414	0.1724430105
415	0.1722589145
416	0.1720564636
417	0.1718890408
418	0.1717410142
419	0.1715449736
420	0.1713563648
421	0.1711981266
422	0.1710134706
423	0.1708418699
424	0.1706461464
425	0.1704606146
426	0.1703007342
427	0.1701319072
428	0.1699407265
429	0.1697822569
430	0.1696296846
431	0.1694652849
432	0.169297773
433	0.169109229
434	0.168952351
435	0.1687848933
436	0.1686080698
437	0.1684678552
438	0.1682927818
439	0.1681293192
440	0.1679396088
441	0.1677551144
442	0.1676027335
443	0.1674361429
444	0.1672736458
445	0.1670969954
446	0.1669669474
447	0.1667929791
448	0.1666616473
449	0.1664991523
450	0.1663354473
451	0.1661500677
452	0.1659699207
453	0.1658003709
454	0.1656275952
455	0.1654641515
456	0.1652743055
457	0.1651002958
458	0.1649325807
459	0.1647690142
460	0.1645959768
461	0.1644048891
462	0.1642442319
463	0.1640567755
464	0.1638978925
465	0.1637218249
466	0.1635137532
467	0.1633698262
468	0.1632292193
469	0.1630762998
470	0.1629494566
471	0.1627885112
472	0.162638493
473	0.1624896936
474	0.1623270143
475	0.1621540611
476	0.1619941267
477	0.1618231406
478	0.161656497
479	0.161524659
480	0.1613333916
481	0.1611720447
482	0.1610206136
483	0.1608250618
484	0.1606849945
485	0.1605310738
486	0.1603839138
487	0.16022862
488	0.1600917203
489	0.1599492267
490	0.1598020862
491	0.1596599433
492	0.1595131858
493	0.1593845593
494	0.1592343522
495	0.1590860273
496	0.1589370536
497	0.158820263
498	0.1587045308
499	0.1585773184
500	0.1584319461
501	0.1582734545
502	0.1581351978
503	0.157994469
504	0.1578388948
505	0.1577048033
506	0.1575865233
507	0.1574163681
508	0.1572917392
509	0.1571644291
510	0.1570070347
511	0.1568487139
512	0.1567006186
513	0.1565470572
514	0.1564056508
515	0.1562915908
516	0.1561505102
517	0.1559943663
518	0.155860719
519	0.1557194165
520	0.1556067336
521	0.1554991371
522	0.1553509814
523	0.1552682281
524	0.1551245297
525	0.1549981881
526	0.154856175
527	0.1547164714
528	0.1545878145
529	0.1544788429
530	0.1543540445
531	0.1542263318
532	0.1541240921
533	0.1539782645
534	0.1538847561
535	0.1537696358
536	0.1536700876
537	0.1535518643
538	0.1534146495
539	0.1532867987
540	0.1531647215
541	0.1530368468
542	0.1529526917
543	0.1528300738
544	0.1527180813
545	0.1525865958
546	0.1524211119
547	0.1522875106
548	0.152196662
549	0.1520545991
550	0.1519393772
551	0.1518106986
552	0.1516910133
553	0.1515664921
554	0.1514668881
555	0.1513573248
556	0.1512528819
557	0.1511274491
558	0.1510097904
559	0.1508999952
560	0.1508059041
561	0.1507020619
562	0.1506087316
563	0.1505072866
564	0.1503762271
565	0.1502476897
566	0.150152664
567	0.1500613571
568	0.1499397819
569	0.1498275497
570	0.1497485943
571	0.1496245767
572	0.1495178103
573	0.1494124928
574	0.149335756
575	0.1492345853
576	0.149116249
577	0.1490180212
578	0.1489089676
579	0.1487931803
580	0.1486948255
581	0.1486032414
582	0.1485261996
583	0.1484067565
584	0.1482976352
585	0.14818911
586	0.1480793424
587	0.1479844049
588	0.1478977374
589	0.1478039741
590	0.1476750227
591	0.1475706682
592	0.1474636118
593	0.1473721142
594	0.1472749787
595	0.1471854314
596	0.1470912653
597	0.1469989195
598	0.1469280083
599	0.14680704
600	0.1467190409
601	0.1466179112
602	0.1465286232
603	0.1464338976
604	0.1463262448
605	0.1462164976
606	0.146145235
607	0.1460601251
608	0.1459854539
609	0.1458949662
610	0.1458171588
611	0.1457191861
612	0.1456078988
613	0.1455285563
614	0.1454376487
615	0.1453505558
616	0.14524197
617	0.1451414023
618	0.1450458765
619	0.1449637391
620	0.1448896595
621	0.1447895579
622	0.1446835651
623	0.1446020406
624	0.1445138484
625	0.1444101402
626	0.1443084779
627	0.1442172506
628	0.1441637972
629	0.1440615944
630	0.1439711865
631	0.1438771731
632	0.1438078004
633	0.1437187469
634	0.1436368001
635	0.1435418073
636	0.1434585507
637	0.1433698669
638	0.1432900935
639	0.1431994033
640	0.1431480268
641	0.1430672227
642	0.1429883164
643	0.1428895978
644	0.1428199489
645	0.1427471238
646	0.142687694
647	0.1426294066
648	0.1425489446
649	0.1424681239
650	0.1424152862
651	0.1423238522
652	0.1422572804
653	0.1421846712
654	0.1421124999
655	0.1420347777
656	0.1419502356
657	0.141864013
658	0.1417736977
659	0.1416983916
660	0.1416250186
661	0.1415326213
662	0.1414655647
663	0.1413673557
664	0.1413040428
665	0.1412246977
666	0.1411759105
667	0.1410852503
668	0.1409996227
669	0.1409216152
670	0.1408536449
671	0.1407911004
672	0.1407436176
673	0.1406862826
674	0.1406081989
675	0.1405378325
676	0.1404794761
677	0.1404250745
678	0.1403562043
679	0.1402943417
680	0.1402167786
681	0.1401473295
682	0.1401079824
683	0.140052947
684	0.1399821758
685	0.1399052185
686	0.1398464056
687	0.1397923118
688	0.1397326965
689	0.1396719746
690	0.1395980599
691	0.1395263319
692	0.139467588
693	0.139410347
694	0.139374618
695	0.1393044262
696	0.1392091286
697	0.1391384555
698	0.1390726704
699	0.1389990593
700	0.1389332749
701	0.1388686431
702	0.1388090206
703	0.1387400458
704	0.1386729675
705	0.1385917352
706	0.1385045144
707	0.1384322751
708	0.1383879806
709	0.138319373
710	0.1382348835
711	0.1381811425
712	0.1381345546
713	0.1380593177
714	0.1379747762
715	0.1379355223
716	0.1378892143
717	0.1378155032
718	0.137759914
719	0.1377062414
720	0.1376479239
721	0.1376012487
722	0.1375375204
723	0.137464497
724	0.1374019583
725	0.1373462997
726	0.1373020793
727	0.1372571958
728	0.1372004059
729	0.1371435866
730	0.1370750744
731	0.137012497
732	0.1369469181
733	0.1368659675
734	0.1368140079
735	0.1367512515
736	0.136701793
737	0.1366563549
738	0.1365961992
739	0.1365376385
740	0.1365051764
741	0.1364179416
742	0.1363641432
743	0.1363138576
744	0.1362665474
745	0.1361902503
746	0.1361321504
747	0.1360876856
748	0.1360281478
749	0.1359587639
750	0.1358827186
751	0.1358249672
752	0.1357609194
753	0.1357152882
754	0.135628697
755	0.1355675825
756	0.1355213116
757	0.1354602261
758	0.1353912922
759	0.1353055055
760	0.1352591011
761	0.13520425
762	0.1351412777
763	0.1350876222
764	0.1350231339
765	0.1349615426
766	0.1349190933
767	0.1348593297
768	0.1347933741
769	0.1347169967
770	0.1346386679
771	0.1345987835
772	0.1345209209
773	0.1344458115
774	0.1344047484
775	0.1343346629
776	0.1342867982
777	0.134229593
778	0.1341591558
779	0.1341141825
780	0.1340784791
781	0.1340395299
782	0.1339773607
783	0.1339218737
784	0.133871841
785	0.1337899261
786	0.1337301343
787	0.1336916035
788	0.1336455344
789	0.1335896052
790	0.1335348985
791	0.1334640242
792	0.133403386
793	0.1333536721
794	0.1332922338
795	0.133220444
796	0.1331607998
797	0.1331230573
798	0.133070417
799	0.133012207
800	0.132942781
801	0.1328984692
802	0.1328290646
803	0.1328021745
804	0.1327365007
805	0.1326919423
806	0.1326316723
807	0.1325774761
808	0.1325323465
809	0.132473715
810	0.1324305801
811	0.1323681696
812	0.1323149777
813	0.1322669025
814	0.132202215
815	0.1321660133
816	0.1321160957
817	0.1320512593
818	0.1320006671
819	0.1319549949
820	0.1318855689
821	0.1318519311
822	0.1317882774
823	0.1317427669
824	0.1317036502
825	0.1316601187
826	0.1316223325
827	0.131572347
828	0.1315218883
829	0.1314628885
830	0.1314092604
831	0.1313502708
832	0.1313204037
833	0.1312754241
834	0.1312207563
835	0.1311705811
836	0.1311141815
837	0.1310491634
838	0.1309717984
839	0.1309253889
840	0.1308728781
841	0.1308167049
842	0.1307475167
843	0.1307137576
844	0.1306444312
845	0.1305905021
846	0.1305515609
847	0.1305004845
848	0.130440535
849	0.1303788542
850	0.1303235793
851	0.1302943817
852	0.1302521068
853	0.1302049681
854	0.130142247
855	0.1300915558
856	0.1300182117
857	0.1299760844
858	0.1299398332
859	0.1299012118
860	0.1298621252
861	0.1298185552
862	0.1297695788
863	0.1297048181
864	0.1296770604
865	0.1296318937
866	0.1295851277
867	0.1295422743
868	0.1294837933
869	0.129422513
870	0.1293801442
871	0.1293164727
872	0.1292721094
873	0.1292195435
874	0.1291911783
875	0.1291624039
876	0.1290957083
877	0.1290524026
878	0.1290047517
879	0.1289786698
880	0.1289299401
881	0.1289031323
882	0.1288395075
883	0.1288062471
884	0.1287662166
885	0.1287224428
886	0.1286735857
887	0.128639145
888	0.1285676447
889	0.128500899
890	0.1284612132
891	0.1284210483
892	0.1283807975
893	0.1283396884
894	0.128294161
895	0.1282382383
896	0.1281848262
897	0.1281370026
898	0.1280638649
899	0.1280183051
900	0.1279818155
901	0.1279410528
902	0.1278926833
903	0.1278497326
904	0.1277991535
905	0.1277544375
906	0.1277109704
907	0.1276800951
908	0.1276367596
909	0.1275840803
910	0.1275436314
911	0.1274827848
912	0.1274219303
913	0.1273844366
914	0.1273435676
915	0.1272937555
916	0.1272638837
917	0.1272241513
918	0.1271696085
919	0.1271314856
920	0.127061783
921	0.1270134369
922	0.1269748317
923	0.1269289668
924	0.1268856606
925	0.1268400702
926	0.1268038125
927	0.1267746401
928	0.1267457823
